Subject,Group,RT,Response,Audio,Speaker,Word,Vowel,Tone,Mode,Acc,Location,QuadraticTerm,LinearTerm,DF,Endingpoint,Tvalue_min,Duration,Mean_F0,musicaltraining,Gender,Assign
S01,native,1650.2,Tone 2,loud001_咳-e-Tone_2.mp3,speaker001,咳,e,Tone 2,loud,1,6,0.010180158,-0.216025447,0.284903617,2.581682878,1.815892641,0.207,242.0103733,0,0,0
S01,native,2010.8,Tone 3,loud001_渴-e-Tone_3.mp3,speaker001,渴,e,Tone 3,loud,1,11,0.010180158,-0.216025447,1.211727019,2.131775634,0.889069238,0.444,193.2798475,0,0,1
S01,native,1187.7,Tone 2,loud001_鱼-y-Tone_2.mp3,speaker001,鱼,y,Tone 2,loud,1,6,0.010180158,-0.216025447,0.323936673,3.144330581,1.776859584,0.262,261.3258609,0,0,0
S01,native,1584.9,Tone 3,loud003_渴-e-Tone_3.mp3,speaker003,渴,e,Tone 3,loud,1,11,0.018803786,-0.378383701,0.307469383,3.177107236,1.732225646,0.493,278.2104,0,0,1
S01,native,1933.3,Tone 2,loud003_拔-a-Tone_2.mp3,speaker003,拔,a,Tone 2,loud,1,1,0.018803786,-0.378383701,-1.085178585,3.724511461,2.840397442,0.38,404.944275,0,0,0
S01,native,1549,Tone 3,loud001_底-i-Tone_3.mp3,speaker001,底,i,Tone 3,loud,1,14,0.010180158,-0.216025447,1.113889734,5,0.986906524,0.49,220.5033047,0,0,1
S01,native,1425.4,Tone 3,loud006_把-a-Tone_3.mp3,speaker006,把,a,Tone 3,loud,1,11,0.007692007,-0.076756371,0.106457708,2.661024517,1.51906145,0.48,238.7319037,0,0,1
S01,native,1962.3,Tone 2,loud001_敌-i-Tone_2.mp3,speaker001,敌,i,Tone 2,loud,1,6,0.010180158,-0.216025447,0.260042792,2.925140355,1.840753465,0.251,258.5195128,0,0,0
S01,native,2282.7,Tone 2,loud006_拔-a-Tone_2.mp3,speaker006,拔,a,Tone 2,loud,1,1,0.007692007,-0.076756371,-0.238056796,3.984170673,1.861366614,0.396,293.1744979,0,0,0
S01,native,1604.4,Tone 2,loud001_无-u-Tone_2.mp3,speaker001,无,u,Tone 2,loud,1,4,0.010180158,-0.216025447,0.189935214,2.979233756,1.910861043,0.242,267.6822582,0,0,0
S01,native,1759.5,Tone 2,loud006_咳-e-Tone_2.mp3,speaker006,咳,e,Tone 2,loud,1,7,0.007692007,-0.076756371,-0.971752897,4.470617768,2.590357588,0.443,336.8438475,0,0,0
S01,native,1533.1,Tone 3,loud003_雨-y-Tone_3.mp3,speaker003,雨,y,Tone 3,loud,1,15,0.018803786,-0.378383701,0.713189028,2.61347241,1.409382345,0.618,246.5003783,0,0,1
S01,native,2277.4,Tone 2,loud006_敌-i-Tone_2.mp3,speaker006,敌,i,Tone 2,loud,1,9,0.007692007,-0.076756371,-0.83221151,3.98416928,2.451711067,0.421,313.6788465,0,0,0
S01,native,3061.2,Tone 2,loud003_底-i-Tone_3.mp3,speaker003,底,i,Tone 3,loud,0,11,0.018803786,-0.378383701,-0.680887818,3.722873782,2.518691142,0.504,350.7695259,0,0,0
S01,native,956.7,Tone 2,loud001_拔-a-Tone_2.mp3,speaker001,拔,a,Tone 2,loud,1,7,0.010180158,-0.216025447,0.787124305,2.882301268,1.313671952,0.242,223.3060233,0,0,0
S01,native,1049.4,Tone 3,loud001_把-a-Tone_3.mp3,speaker001,把,a,Tone 3,loud,1,11,0.010180158,-0.216025447,1.921831425,1.94333114,0.178964832,0.489,174.1147517,0,0,1
S01,native,2475.9,Tone 2,loud003_五-u-Tone_3.mp3,speaker003,五,u,Tone 3,loud,0,5,0.018803786,-0.378383701,-0.50893062,3.617521686,2.381859637,0.345,342.5589355,0,0,0
S01,native,1145.1,Tone 2,loud003_敌-i-Tone_2.mp3,speaker003,敌,i,Tone 2,loud,1,1,0.018803786,-0.378383701,-0.794114351,3.550429734,2.608788893,0.343,377.1531531,0,0,0
S01,native,1759,Tone 2,loud003_鱼-y-Tone_2.mp3,speaker003,鱼,y,Tone 2,loud,1,1,0.018803786,-0.378383701,-0.365073074,4.545317392,2.2673878689999998,0.415,399.2727266,0,0,0
S01,native,1486.7,Tone 3,loud003_把-a-Tone_3.mp3,speaker003,把,a,Tone 3,loud,1,12,0.018803786,-0.378383701,-0.008691605,2.865974594,1.983804435,0.431,276.0738281,0,0,1
S01,native,1264.1,Tone 3,loud001_雨-y-Tone_3.mp3,speaker001,雨,y,Tone 3,loud,1,14,0.010180158,-0.216025447,0.922187218,2.51769687,1.178609039,0.489,201.3164593,0,0,1
S01,native,1935.1,Tone 3,loud006_五-u-Tone_3.mp3,speaker006,五,u,Tone 3,loud,1,11,0.007692007,-0.076756371,-0.670190997,3.936552489,2.290729577,0.623,299.0131125,0,0,1
S01,native,1766.7,Tone 2,loud003_咳-e-Tone_2.mp3,speaker003,咳,e,Tone 2,loud,1,4,0.018803786,-0.378383701,-1.274670116,3.952103204,2.991181542,0.304,389.1510786,0,0,0
S01,native,3284.5,Tone 3,loud001_五-u-Tone_3.mp3,speaker001,五,u,Tone 3,loud,1,13,0.010180158,-0.216025447,0.986179176,2.2088583,1.114617081,0.508,206.1853593,0,0,1
S01,native,1532.2,Tone 3,loud006_底-i-Tone_3.mp3,speaker006,底,i,Tone 3,loud,1,11,0.007692007,-0.076756371,-0.188893029,3.064266083,1.812518129,0.506,257.1699355,0,0,1
S01,native,1436.6,Tone 2,loud008_敌-i-Tone_2.mp3,speaker008,敌,i,Tone 2,loud,1,5,0.01361973,-0.279186217,1.106782236,4.567791805,3.36520583,0.348,164.1790465,0,0,0
S01,native,1324.7,Tone 2,loud006_无-u-Tone_2.mp3,speaker006,无,u,Tone 2,loud,1,1,0.007692007,-0.076756371,-0.965820046,4.191130713,2.584462783,0.415,326.903639,0,0,0
S01,native,1485.6,Tone 2,loud007_咳-e-Tone_2.mp3,speaker007,咳,e,Tone 2,loud,1,7,0.026350792,-0.478999168,0.059689366,3.80656463,2.612729568,0.378,272.6705882,0,0,0
S01,native,2418.4,Tone 3,loud009_五-u-Tone_3.mp3,speaker009,五,u,Tone 3,loud,1,13,0.00401111,0.00324491,0.255002857,3.644925498,1.321377681,0.544,263.9617608,0,0,1
S01,native,1032.2,Tone 2,loud007_拔-a-Tone_2.mp3,speaker007,拔,a,Tone 2,loud,1,6,0.026350792,-0.478999168,0.620918977,3.072283158,1.896866994,0.403,222.417189,0,0,0
S01,native,1643.8,Tone 3,loud006_渴-e-Tone_3.mp3,speaker006,渴,e,Tone 3,loud,1,12,0.007692007,-0.076756371,-0.559334977,3.590722945,2.180584466,0.542,295.6107377,0,0,1
S01,native,1292.8,Tone 3,loud008_渴-e-Tone_3.mp3,speaker008,渴,e,Tone 3,loud,1,9,0.005364337,-0.085249935,2.008825369,3.120412629,1.823506572,0.421,128.9195502,0,0,1
S01,native,1753.2,Tone 3,loud007_底-i-Tone_3.mp3,speaker007,底,i,Tone 3,loud,1,8,0.026350792,-0.478999168,0.51813997,2.486662038,2.027964219,0.523,241.17915730000001,0,0,1
S01,native,866.1,Tone 2,loud007_无-u-Tone_2.mp3,speaker007,无,u,Tone 2,loud,1,1,0.026350792,-0.478999168,0.25671683,4.989957397,2.361416051,0.417,292.5915108,0,0,0
